UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.000831,308.6901,32.85363,2165.671,-1420.027,1137.254,1174.865,10.29972,-2.18628
3.002273,309.0237,32.8943,2166.181,-1413.066,1145.247,1176.433,10.04026,-0.5097637
4.002954,309.3573,32.91178,2166.21,-1406.115,1153.242,1177.004,10.00535,-0.02854501
5.003846,309.6733,32.92012,2166.104,-1399.532,1160.815,1177.211,7.386653,0.1058626
6.004086,309.8547,32.90858,2166.918,-1396.558,1165.828,1177.287,10.00009,-0.8137698
7.005479,310.1499,32.89333,2167.86,-1391.377,1173.72,1177.314,10.00001,-0.9410715
8.006201,310.4814,32.90547,2167.168,-1383.931,1181.212,1177.324,10,0.6916395
9.006539,310.706,32.87754,2166.394,-1379.232,1186.577,1176.017,4.49095,0.7739078
10.00666,311.0048,32.85262,2165.749,-1373.001,1193.735,1174.875,10.02165,0.6449443
11.01056,311.3395,32.8429,2165.549,-1366.029,1201.756,1174.458,10.00287,0.198931
12.01173,311.6733,32.83821,2165.546,-1359.074,1209.755,1174.307,10.00038,0.003657801
13.01313,312.0071,32.83477,2165.646,-1352.119,1217.755,1174.253,10.00005,-0.1004462
14.0135,312.3405,32.83122,2165.817,-1345.171,1225.748,1174.233,10.00001,-0.1708347
15.0137,312.6737,32.82707,2166.047,-1338.223,1233.739,1174.225,10,-0.2296892
16.01498,313.0071,32.82214,2166.332,-1331.269,1241.739,1174.223,10,-0.2843057
17.0152,313.3401,32.81639,2166.668,-1324.321,1249.73,1174.223,10,-0.3368387
18.01601,313.6732,32.80977,2167.058,-1317.37,1257.726,1174.223,10,-0.3888469
19.01632,314.0058,32.83311,2168.251,-1310.422,1265.718,1175.612,10.22369,-1.192985
20.01648,314.2819,32.79666,2167.935,-1304.654,1272.353,1174.282,10.02995,0.3156235
21.01673,314.5986,32.75649,2169.402,-1299.064,1280.99,1173.798,10.00398,-1.466437
22.02162,314.9249,32.77168,2168.182,-1290.802,1287.423,1173.621,10.00051,1.214029
23.02267,315.2571,32.76018,2168.74,-1283.812,1295.385,1173.557,10.00007,-0.5575221
24.02404,315.5891,32.748,2169.414,-1276.857,1303.385,1173.534,10.00001,-0.6729063
25.02523,315.9207,32.73528,2170.148,-1269.903,1311.384,1173.526,10,-0.7332532
26.02602,316.2518,32.72181,2170.936,-1262.952,1319.38,1173.523,10,-0.7874638
27.0275,316.5828,32.70754,2171.778,-1255.995,1327.381,1173.523,10,-0.8405558
28.02757,316.913,32.69244,2172.67,-1249.049,1335.371,1173.523,10,-0.8917841
29.02857,317.2431,32.67647,2173.614,-1242.096,1343.368,1173.523,10,-0.943148
30.02979,317.5729,32.65965,2174.609,-1235.142,1351.368,1173.523,10,-0.9941522
31.03123,317.9023,32.64198,2175.656,-1228.186,1359.369,1173.523,10,-1.045367
32.03169,318.2309,32.62349,2176.753,-1221.237,1367.362,1173.523,10,-1.096418
33.0326,318.5591,32.60415,2177.902,-1214.285,1375.359,1173.523,10,-1.147396
34.03397,318.8871,32.58397,2179.101,-1207.33,1383.359,1173.523,10,-1.198065
35.03512,319.2144,32.56298,2180.352,-1200.376,1391.358,1173.523,10,-1.249052
36.03566,319.541,32.54116,2181.652,-1193.427,1399.352,1173.523,10,-1.299838
37.03697,319.8673,32.51852,2183.005,-1186.472,1407.352,1173.523,10,-1.350521
38.03799,320.193,32.49508,2184.407,-1179.519,1415.349,1173.523,10,-1.400675
39.03896,320.518,32.47083,2185.86,-1172.566,1423.346,1173.523,10,-1.451464
40.03909,320.8421,32.44579,2187.361,-1165.62,1431.337,1173.523,10,-1.501519
41.0402,321.1659,32.41994,2188.915,-1158.666,1439.335,1173.523,10,-1.551994
42.04045,321.4888,32.39333,2190.517,-1151.719,1447.327,1173.523,10,-1.601879
43.0423,321.8115,32.36589,2192.172,-1144.76,1455.331,1173.523,10,-1.651742
44.04253,322.133,32.33772,2193.875,-1137.813,1463.323,1173.522,10,-1.702
45.04357,322.454,32.30876,2195.628,-1130.859,1471.32,1173.523,10,-1.751595
46.04498,322.7745,32.27903,2197.432,-1123.904,1479.321,1173.523,10,-1.801177
47.04939,323.0952,32.24843,2199.291,-1116.927,1487.346,1173.523,10,-1.850957
48.0502,323.4139,32.2172,2201.193,-1109.976,1495.342,1173.523,10,-1.900318
49.0508,323.7318,32.18524,2203.144,-1103.026,1503.336,1173.523,10,-1.949757
50.05168,324.049,32.15253,2205.144,-1096.074,1511.333,1173.523,10,-1.998745
51.05276,324.3654,32.11909,2207.194,-1089.121,1519.331,1173.523,10,-2.047821
52.0529,324.6808,32.08495,2209.291,-1082.174,1527.321,1173.523,10,-2.09664
53.0538,324.9955,32.05009,2211.438,-1075.222,1535.318,1173.523,10,-2.145284
54.05452,325.3093,32.01451,2213.634,-1068.271,1543.313,1173.523,10,-2.193986
55.05491,325.6221,31.97826,2215.877,-1061.323,1551.306,1173.523,10,-2.242519
56.05605,325.9343,31.94127,2218.17,-1054.369,1559.304,1173.523,10,-2.290617
57.05732,326.2456,31.90361,2220.512,-1047.414,1567.304,1173.523,10,-2.338817
58.06012,326.5564,31.86521,2222.906,-1040.449,1575.316,1173.523,10,-2.386868
59.06183,326.866,31.8262,2225.344,-1033.492,1583.318,1173.523,9.8,-2.434561
60.06318,327.0472,31.80298,2226.798,-1029.409,1588.015,1173.523,3.568866,-1.451655
61.06374,327.1131,31.79449,2227.331,-1027.924,1589.723,1173.523,1.299674,-0.5326633
