UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.003615,116.5448,19.93821,117.0065,98.39836,-49.15569,39.9,10,2.262683
3.006215,121.8741,20.51215,113.8679,90.56698,-56.31621,39.9,10,3.130473
4.00647,127.4969,20.90867,111.8025,82.86152,-63.57485,39.9,10,2.064873
5.006605,133.3114,21.06594,111.0054,75.37335,-71.05667,39.9,10,0.7969959
6.007269,139.1639,21.02205,111.2265,67.88989,-78.55118,39.9,10,-0.2209379
7.009146,144.9372,20.78294,112.4486,60.39543,-86.05276,39.9,10,-1.219848
8.009942,150.5057,20.36532,114.6537,52.91985,-93.55715,39.9,10,-2.203263
9.011906,155.7878,19.79711,117.8067,45.45898,-101.0934,39.9,10,-3.146828
10.01292,160.6495,19.08183,122.0488,38.21824,-108.8268,39.9,10,-4.237855
11.01319,165.0172,18.26191,127.3291,31.26033,-116.8054,39.9,9.999999,-5.27891
12.01348,168.8796,17.38932,133.506,24.57269,-125.0121,39.9,10,-6.175072
13.01364,172.2288,16.49858,140.4971,18.21552,-133.4752,39.9,10,-6.989976
14.01541,175.1138,15.6222,148.1657,12.15398,-142.1736,39.9,10,-7.655042
15.01574,177.5514,14.77921,156.4124,6.461303,-151.0995,39.9,10,-8.243979
16.01704,179.6214,13.98405,165.1134,1.058628,-160.2165,39.9,9.999999,-8.689796
17.01808,181.4206,13.24876,174.0995,-4.201205,-169.4136,39.9,9.999999,-8.976681
18.01924,182.9876,12.57078,183.3259,-9.326003,-178.688,39.9,10,-9.21578
19.02046,184.3498,11.94615,192.7611,-14.30345,-188.0432,39.9,10,-9.423667
20.02272,185.5392,11.37072,202.3772,-19.15126,-197.4785,39.9,9.999999,-9.594357
21.0243,186.5706,10.84099,212.1396,-23.84151,-206.985,39.9,10,-9.747087
22.02543,187.4686,10.35294,222.0228,-28.38927,-216.5552,39.9,10,-9.871966
23.02703,188.2474,9.902204,232.0211,-32.78711,-226.2007,39.9,10,-9.982285
24.0279,188.9127,9.485497,242.1148,-36.99769,-235.9211,39.9,10,-10.08494
25.03011,189.4645,9.098417,252.3228,-40.96892,-245.7567,39.9,10,-10.1855
26.03106,189.934,8.740039,262.5843,-44.77332,-255.644,39.9,10,-10.25177
27.03226,190.3182,8.406792,272.9143,-48.3578,-265.6158,39.9,10,-10.31764
28.03386,190.6049,8.095994,283.316,-51.62045,-275.7014,39.9,10,-10.38506
29.03525,190.8008,7.806126,293.7675,-54.54048,-285.8892,39.9,10,-10.43702
30.03555,190.923,7.535827,304.2408,-57.15247,-296.1487,39.9,9.999999,-10.47012
31.03725,190.9802,7.282841,314.7497,-59.46679,-306.4948,39.9,10,-10.49108
32.03806,190.9883,7.046286,325.259,-61.52865,-316.8842,39.9,10,-10.50083
33.04007,190.9532,6.824352,335.7846,-63.34934,-327.3319,39.90001,10,-10.50452
34.04012,190.8932,6.616365,346.2906,-65.00603,-337.786,39.9,10,-10.50541
35.04135,190.8138,6.420526,356.808,-66.5235,-348.2737,39.9,10,-10.50455
36.04291,190.7347,6.235834,367.332,-68.01515,-358.7683,39.9,10,-10.50752
37.04417,190.6601,6.061522,377.8569,-69.5059,-369.2597,39.9,10,-10.51169
38.04452,190.5896,5.896711,388.3762,-70.9953,-379.7416,39.9,10,-10.51558
39.04537,190.5228,5.740541,398.9043,-72.48544,-390.2287,39.9,10,-10.51915
40.04699,190.4595,5.592333,409.4437,-73.97672,-400.7238,39.9,10,-10.52248
41.04838,190.3994,5.451544,419.984,-75.46767,-411.2167,39.9,10,-10.52557
42.04843,190.3423,5.317803,430.5128,-76.95662,-421.6954,39.9,10,-10.52837
43.0497,190.2879,5.190332,441.0573,-78.44739,-432.1869,39.9,10,-10.53103
44.0519,190.236,5.068636,451.6139,-79.93953,-442.6881,39.9,10,-10.53351
45.053,190.1866,4.952703,462.1613,-81.43005,-453.1779,39.9,10,-10.53574
46.0533,190.1394,4.841974,472.7024,-82.91937,-463.6592,39.9,10,-10.53796
47.05455,190.0943,4.736028,483.2555,-84.41011,-474.1506,39.9,10,-10.53991
48.05671,190.051,4.634472,493.8199,-85.9022,-484.6514,39.9,10,-10.54175
49.05681,190.0097,4.537385,504.3646,-87.39124,-495.1307,39.9,10,-10.54353
50.0591,189.97,4.444088,514.9339,-88.88352,-505.6329,39.9,10,-10.54515
51.06017,189.9319,4.354557,525.4925,-90.37399,-516.1229,39.9,10,-10.54729
52.06019,189.8954,4.268749,536.0423,-91.86289,-526.6028,39.9,10,-10.54964
53.06027,189.8619,4.186147,546.5944,-93.36754,-537.0809,39.9,10,-10.55124
54.06205,189.8799,4.106561,557.1644,-95.35471,-547.4921,39.9,10,-10.55123
55.06417,190.0465,4.030898,567.6069,-98.77277,-557.5208,39.9,10,-10.42043
56.06418,190.3333,3.959975,577.7681,-103.3887,-567.0403,39.9,10,-10.16111
57.06656,190.6951,3.892946,587.6962,-108.8145,-576.1547,39.9,10,-9.904488
58.06831,191.1143,3.829963,597.3506,-114.8924,-584.838,39.9,10,-9.637557
59.06859,191.5968,3.771228,606.6269,-121.6824,-592.9566,39.9,10,-9.273679
60.0689,192.1422,3.717048,615.4561,-129.1821,-600.4216,39.9,10,-8.826358
61.07034,192.7597,3.668051,623.6721,-137.4637,-607.0244,39.9,9.999999,-8.204294
62.07208,193.4435,3.484757,631.0789,-146.4461,-612.6521,38.35944,10.0788,-7.393893
63.0723,194.1688,3.376204,637.9255,-155.8797,-617.4456,37.56922,10.01049,-6.845182
64.07343,194.9288,3.317532,644.2344,-165.6885,-621.4462,37.28137,10.00139,-6.301722
65.0744,195.7214,3.279248,649.9018,-175.8088,-624.5651,37.17667,10.00019,-5.661872
