UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.002458,308.6937,5.7489,468.2089,-363.5988,291.2317,46.90001,20,-8.699228
3.003973,310.9987,5.63423,477.7053,-358.7942,311.8806,46.9,20,-9.482035
4.004082,313.2065,5.51587,487.9237,-353.9963,332.5005,46.9,20,-10.21727
5.00482,315.3213,5.394813,498.8388,-349.1954,353.1334,46.9,20,-10.90708
6.005007,317.3409,5.272323,510.3937,-344.3971,373.7549,46.9,20,-11.5527
7.005397,319.2738,5.149933,522.4875,-339.5182,394.3615,46.90001,20,-12.08914
8.006404,321.1457,5.031002,534.81,-334.2161,414.8756,46.9,20,-12.31006
9.007615,322.9715,4.916973,547.1835,-328.3082,435.2285,46.9,20,-12.35852
10.00823,324.737,4.806034,559.7831,-322.0437,455.4618,46.9,20,-12.59198
11.00957,326.4389,4.697195,572.7145,-315.5479,475.6384,46.9,20,-12.91403
12.01075,328.0812,4.591243,585.9097,-308.786,495.7234,46.9,20,-13.17962
13.01148,329.6711,4.48847,599.2874,-301.6901,515.6829,46.9,20,-13.36791
14.01154,331.2061,4.388741,612.8877,-294.338,535.5342,46.9,20,-13.59951
15.0119,332.7134,4.293727,626.4193,-286.3703,555.1519,46.9,20,-13.52677
