UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.002661,307.6964,6.331189,425.2992,-334.4704,258.475,46.9,20,15.48805
3.004937,309.7513,6.563993,410.2767,-313.3644,260.634,46.9,20,14.98835
4.006757,311.9937,6.800283,396.0848,-292.3063,263.136,46.9,20,14.16613
5.007649,314.4092,7.040437,382.6383,-271.2806,265.743,46.9,20,13.43446
6.009439,317.002,7.283838,369.9168,-250.2376,268.3654,46.9,20,12.6988
7.010492,319.7779,7.526786,358.0436,-229.2152,271.0277,46.9,20,11.86069
8.012199,322.7744,7.758914,347.3943,-208.2341,274.0835,46.9,20,10.63117
9.013636,326.019,7.962302,338.5758,-187.4121,278.048,46.9,20,8.805825
10.01471,329.5259,8.102393,332.76,-167.074,283.9294,46.9,20,5.809621
11.01587,333.2067,8.14259,331.1284,-147.7589,292.5982,46.9,20,1.629673
12.01742,336.8533,8.068303,334.1566,-130.0521,304.2162,46.9,20,-3.023501
13.01794,340.2541,7.895805,341.4092,-114.2513,318.288,46.9,20,-7.248811
14.01935,343.3597,7.668181,351.4799,-99.75031,333.749,46.9,20,-10.05653
15.02069,346.2746,7.432207,362.5728,-85.30437,349.2601,46.9,20,-11.07808
16.02285,349.0464,7.199827,374.2115,-70.54511,364.4969,46.9,20,-11.61361
17.02404,351.7553,6.986541,385.5762,-54.88128,378.7578,46.9,20,-11.35122
18.02498,354.5462,6.817566,395.0869,-37.28476,390.5175,46.9,20,-9.50176
19.02539,357.4207,6.695037,402.2827,-17.97978,399.1347,46.9,20,-7.192888
20.02731,0.3560113,6.613074,407.2465,2.513602,404.5291,46.9,20,-4.954252
21.02753,3.276404,6.543887,411.5307,23.36693,408.1812,46.9,20,-4.283226
22.02826,6.146912,6.46681,416.4174,44.3055,411.3889,46.9,20,-4.883136
23.02968,8.981266,6.389883,421.4102,65.3783,413.6577,46.9,20,-4.985812
24.03631,11.79489,6.313575,426.4789,86.64729,414.942,46.9,20,-5.035227
25.03796,14.5604,6.239636,431.5125,107.8398,415.1795,46.9,20,-5.025322
26.0392,17.34598,6.193814,434.692,128.8429,412.5009,46.9,20,-3.175572
27.03938,20.13924,6.172411,436.1958,149.3128,407.1521,46.9,20,-1.503514
28.04016,22.9367,6.176634,435.8994,168.89,399.1051,46.9,20,0.2961265
29.04068,25.72149,6.212114,433.4177,186.9975,388.1794,46.9,20,2.480489
