UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.002263,292.0495,28.36757,1311.133,-1069.307,433.1039,622.9536,30,27.89899
3.002319,292.3425,29.02834,1283.743,-1038.212,426.7013,622.926,30,27.38836
4.003119,292.7197,29.71133,1256.782,-1006.858,421.584,622.8992,30,26.93938
5.00469,293.1964,30.4146,1230.365,-975.2726,417.9296,622.8763,30,26.3758
6.006003,293.7744,31.13558,1204.594,-943.5709,415.6617,622.8534,30,25.73662
7.006635,294.5121,31.86127,1179.907,-911.8102,415.7692,622.8306,30,24.6719
8.007958,295.4019,32.58839,1156.345,-880.0984,417.9375,622.8076,30,23.53025
9.009829,296.4426,33.31091,1134.022,-848.5577,422.0143,622.7847,30,22.28107
10.01124,297.6268,34.02362,1112.999,-817.2888,427.7549,622.7617,30,20.9936
11.01248,298.9182,34.7349,1092.946,-786.1866,434.324,622.7388,30,20.02882
12.0139,300.287,35.45529,1073.523,-755.1029,441.0176,622.7159,30,19.3948
13.01551,301.7319,36.18527,1054.7,-724.0134,447.7169,622.6929,30,18.79286
14.01618,303.2552,36.92194,1036.528,-692.9532,454.4108,622.67,30,18.15943
15.01798,304.8647,37.66437,1019.004,-661.8579,461.1123,622.6471,30,17.49264
16.01932,306.5622,38.40842,1002.191,-630.7769,467.8107,622.6241,30,16.79068
17.01984,308.3513,39.15042,986.1297,-599.7214,474.5036,622.6013,30,16.05316
18.01991,310.2365,39.88675,970.8491,-568.6799,481.1935,622.5784,30,15.27962
19.02113,312.2276,40.61209,956.4026,-537.6173,487.9532,622.5555,30,14.42884
20.02297,314.3382,41.31185,943.0067,-506.6083,495.0383,622.5325,30,13.37126
21.02469,316.5509,41.99237,930.4636,-475.5873,502.0566,622.5096,30,12.52168
22.02509,318.8666,42.64503,918.8616,-444.6054,509.0609,622.4868,30,11.5972
23.02674,321.2904,43.26567,908.1996,-413.5818,516.0576,622.4638,30,10.64448
24.02721,323.8155,43.84583,898.5459,-382.5933,523.0433,622.4409,30,9.649166
25.02768,326.4409,44.37947,889.922,-351.6052,530.0291,622.418,30,8.619905
26.02907,329.1639,44.86044,882.3515,-320.5881,537.0212,622.3951,30,7.559941
27.03052,331.9738,45.28278,875.8551,-289.5648,543.992,622.3722,30,6.48701
28.03119,334.8388,45.68142,869.8513,-258.3817,550.0561,622.3492,30,5.999804
29.03288,337.7413,46.0978,863.713,-226.8663,554.2939,622.3264,30,6.127891
30.03313,340.682,46.52034,857.6177,-195.2191,556.8987,622.3035,30,6.093787
31.0338,343.67,46.94579,851.6132,-163.4685,557.9337,622.2806,30,6.000492
32.0342,346.695,47.39072,845.4733,-131.7247,557.0179,622.2577,30,6.137465
33.03571,349.7795,47.82784,839.5747,-100.0136,554.7133,622.2347,30,5.889655
34.0369,352.931,48.2303,834.256,-68.39107,551.5054,622.2119,30,5.312394
35.03729,355.9272,48.88875,832.4894,-38.87694,545.9988,627.2261,34.38645,1.765909
36.03767,359.1247,49.99999,838.0593,-8.229153,538.6314,641.9906,32.13921,-5.56773
37.03854,2.410947,50.88466,842.7255,22.36517,531.191,653.8517,32.02752,-4.662103
38.03969,5.791362,51.57336,846.892,53.1124,523.6671,663.459,31.39857,-4.161726
39.04111,9.226637,52.1505,851.2961,83.75305,515.5881,672.2048,31.01207,-4.397838
40.04222,12.6996,52.59745,855.6408,114.2562,507.0113,679.7104,31.04331,-4.339925
41.04377,16.19866,52.92506,861.0652,144.8129,498.4928,686.9989,30.6417,-5.41598
42.04377,19.68767,53.08055,866.3637,175.3248,489.9954,692.6412,30.63974,-5.298508
43.04464,23.15334,53.11179,872.444,205.9112,481.5093,697.7878,30.27252,-6.074991
44.04523,26.56406,52.97546,878.2793,236.5062,473.0327,701.1986,30.08678,-5.831883
45.04599,29.89754,52.69096,884.1596,267.1204,464.5827,703.241,30.04871,-5.875875
46.04614,33.13275,52.28089,890.3688,297.7332,456.1516,704.2991,30.00646,-6.208263
