UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.002714,153.1693,11.53005,234.6384,103.7682,-205.1529,46.9,20,-14.07561
3.003664,149.6205,10.83002,249.6063,123.9837,-211.4988,46.9,20,-14.9537
4.00426,146.4771,10.1809,265.3366,144.2304,-217.7188,46.9,20,-15.7209
5.004325,143.6901,9.583101,281.7194,164.4928,-223.8488,46.9,20,-16.38172
6.005446,141.215,9.033528,298.703,184.7867,-229.9516,46.9,20,-16.96462
7.007191,138.9982,8.531221,316.1479,205.1242,-235.9533,46.9,20,-17.41454
8.010654,136.9341,8.077763,333.7687,225.6491,-241.4217,46.9,20,-17.55998
9.010657,134.8224,7.686357,350.6539,246.4825,-244.959,46.9,20,-16.88516
10.01079,132.312,7.385862,364.8362,267.5543,-243.558,46.9,20,-14.18041
11.01099,129.4292,7.919635,375.5648,287.3231,-236.2554,51.74697,20,-10.72651
12.01107,126.3198,8.164309,381.6674,304.4016,-223.7675,54.20151,20.00714,-6.102089
13.01161,123.2773,8.850351,384.3641,317.512,-208.3861,59.13609,22.20726,-2.695189
14.01325,120.1876,10.6971,383.9269,326.0933,-189.696,71.26324,23.46393,0.4364811
15.01327,117.0037,11.97895,387.2649,337.5304,-172.008,80.37787,20.69561,-3.337962
16.01403,113.8125,12.42994,388.9393,347.4888,-153.3516,83.71742,20.09364,-1.673133
17.01565,110.6345,12.69221,386.5637,352.9247,-132.8986,84.93324,20.01244,2.371784
18.01726,107.5294,13.42947,381.9558,354.2597,-111.8976,88.70852,20.15793,4.600483
19.01835,104.336,13.84299,377.3394,354.9706,-90.71873,90.28313,20.02102,4.611346
20.0186,101.0722,14.08309,373.3865,355.4226,-69.55231,90.85563,20.00279,3.951962
21.01962,97.78508,14.29519,368.8036,354.0902,-48.41043,91.06418,20.00037,4.578178
22.0204,94.45975,14.49913,364.028,351.3671,-27.40486,91.13998,20.00005,4.771986
23.02234,91.06531,14.67918,359.7685,347.9654,-6.470538,91.16763,20.00001,4.251246
24.02244,87.60744,14.81834,356.5034,344.3462,14.38754,91.17767,20,3.264719
25.02414,84.10321,14.9443,353.5807,339.8138,35.09708,91.18131,20,2.917789
26.02537,80.57243,15.07929,350.4926,333.8531,55.43404,91.18262,20,3.084209
27.02749,76.99125,15.18229,348.172,327.3962,75.63802,91.18312,20,2.315722
28.02786,73.41931,15.33953,344.688,318.5866,94.85787,91.18326,20,3.482697
29.0291,69.86182,15.58337,339.4248,306.9598,112.5633,91.18326,20,5.256663
30.02954,66.18522,15.7499,335.9257,295.7853,130.548,91.18326,20,3.497603
31.03044,62.54578,15.98603,331.0904,282.4411,146.7429,91.18326,20,4.830952
32.03255,59.51728,16.63939,318.436,262.9313,154.7716,91.18326,20,12.6278
33.0331,56.94163,17.52852,302.7529,241.9599,157.4812,91.18326,20,15.67451
34.03356,54.41676,18.56578,286.3858,220.7884,157.9713,91.18326,20,16.35953
35.03442,51.20599,19.57691,272.1303,199.8384,160.6398,91.18326,20,14.24329
36.03518,46.81005,20.19314,264.157,180.756,169.6815,91.18326,20,7.967233
37.03629,41.93187,20.40106,261.5779,163.8343,182.3922,91.18326,20,2.576291
38.03765,37.22362,20.00457,266.5435,151.5112,199.4378,91.18326,20,-4.958889
39.03888,33.44895,19.79502,279.7083,145.0634,219.5918,94.7249,20,-13.14865
40.03942,30.35339,19.51749,295.4731,140.7325,240.3203,98.71591,20.00576,-15.75611
41.04008,27.64951,19.29891,312.3521,136.8055,261.1349,103.2313,20,-16.86809
42.04034,25.06,18.45943,327.6997,131.6612,281.578,103.7606,20.00087,-15.34348
43.04134,21.78598,17.89111,338.1369,119.4276,298.8023,103.8787,20.00011,-10.42682
44.04171,18.26643,17.54877,344.6621,103.002,312.0623,103.9217,20.00002,-6.522836
45.04284,14.63254,17.40682,347.4372,83.74978,320.7734,103.9374,20,-2.771933
46.04293,10.97618,17.43307,346.9493,63.0252,324.9577,103.943,20,0.4878364
47.04313,7.319962,17.53799,344.9451,41.90663,326.2306,103.9451,20,2.003791
