UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.002566,193.3487,12.12406,223.3024,-50.40538,-212.4233,46.9,15,13.86991
3.003147,191.3376,12.93077,209.5867,-40.15784,-200.2856,46.9,15,13.70776
4.003651,189.0576,13.83346,196.1519,-29.98388,-188.0875,46.9,15,13.42806
5.005456,186.4185,14.84135,183.1006,-19.78581,-175.8827,46.9,15,13.02775
6.005882,183.3593,15.9619,170.5466,-9.608193,-163.6894,46.9,15,12.54866
7.00733,179.8002,17.20726,158.5375,0.5280526,-151.4406,46.9,15,11.99167
8.012202,175.6355,18.58446,147.1592,10.6151,-139.0811,46.9,15,11.32315
9.013065,170.7899,20.07611,136.628,20.53918,-126.6718,46.9,15,10.52212
10.01439,165.2079,21.69651,126.863,30.09496,-113.9689,46.9,15,9.752067
11.01598,158.7465,23.40409,118.0726,39.27926,-100.9884,46.9,15,8.776469
12.01723,151.2518,25.09165,110.5956,48.17244,-87.81345,46.9,15,7.4676
13.01792,142.6641,26.59474,104.763,56.81485,-74.48323,46.9,15,5.828633
14.01808,133.055,27.62741,101.1386,65.47571,-61.1747,46.9,15,3.623791
15.01849,122.8458,28.02798,99.80792,74.01762,-47.78497,46.9,15,1.33017
16.01999,112.6171,27.64584,101.0766,82.65116,-34.43322,46.9,15,-1.266729
17.02187,103.0041,26.58822,104.7869,91.30209,-21.08568,46.9,15,-3.703354
18.02411,94.43056,25.06598,110.7016,99.9761,-7.746383,46.9,15,-5.901468
19.02945,87.30798,23.1871,119.1157,109.3731,5.142633,46.9,15,-8.369434
20.03043,81.95694,21.15597,129.95,119.9995,16.95679,46.9,15,-10.82371
21.03066,77.65986,19.30634,141.8552,130.7848,28.6117,46.9,15,-11.90252
22.03167,74.12187,17.6728,154.4894,141.5822,40.27231,46.9,15,-12.62142
23.03322,71.17881,16.24168,167.6859,152.3853,51.93908,46.9,15,-13.17607
24.03469,68.70585,14.99086,181.3158,163.1877,63.60503,46.9,15,-13.60984
25.03632,66.60566,13.89564,195.2912,173.9916,75.27249,46.9,15,-13.9527
26.03872,64.80333,12.93293,209.5524,184.8039,86.94898,46.9,15,-14.22715
27.03912,63.24664,12.08534,224.0074,195.5948,98.60229,46.9,15,-14.44912
