UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.000652,257.2198,36.52749,1455.456,-1140.588,-258.7206,866.3,10,5.979445
3.00079,256.7623,36.50595,1448.807,-1133.601,-266.67,861.9048,9.999999,6.647888
4.002639,256.296,36.43945,1441.611,-1126.739,-274.7538,856.2779,10,7.183254
5.003506,255.8245,36.36961,1434.556,-1119.944,-282.8794,850.6801,10,7.048824
6.003795,255.3372,36.28686,1428.113,-1113.661,-291.3904,845.1978,10.52861,6.440771
7.004707,254.8296,36.28756,1424.562,-1108.263,-300.4943,843.1103,10.0717,3.547909
8.005767,254.3024,36.28113,1423.496,-1104.715,-310.4716,842.3508,10.00954,1.064668
9.006393,253.7754,36.2795,1423.085,-1101.517,-320.5339,842.0745,9.714426,0.4113631
10.00791,253.3197,36.39582,1418.993,-1094.138,-327.8467,841.9739,10.00017,4.085478
11.00886,252.8101,36.35405,1420.336,-1092.798,-338.0664,841.9374,10.00002,-1.341993
12.01039,252.3194,36.2668,1423.26,-1093.329,-348.5189,841.924,10,-2.919347
13.01124,251.8441,36.27262,1417.993,-1086.284,-356.2258,838.9245,10,5.262629
14.01238,251.334,36.15549,1412.847,-1080.756,-365.1016,833.5497,10,5.13987
15.01296,250.8056,35.97956,1409.615,-1077.284,-375.0325,828.144,10,3.230925
16.01409,250.4151,36.01393,1401.804,-1068.283,-380.082,824.2356,10.00655,7.801615
17.015,250.1005,36.1013,1392.842,-1058.188,-383.0489,820.6832,10,8.95391
18.01662,249.7907,36.13549,1382.678,-1047.939,-385.759,815.3609,10,10.14741
19.01827,249.4767,36.19872,1373.047,-1037.686,-388.4568,810.9044,10.24253,9.615633
20.01897,249.158,36.36578,1365.271,-1027.444,-391.1519,809.5209,10.0325,7.7706
21.01928,248.8214,36.55875,1358.217,-1017.297,-394.1464,809.0175,10.00432,7.051633
22.01947,248.3631,36.69824,1353.47,-1008.74,-400.1397,808.8342,10.00057,4.746262
23.01948,247.8095,36.70155,1353.253,-1004.623,-409.784,808.7675,10.00008,0.2164295
24.02025,247.2821,36.61371,1356.003,-1003.986,-420.3444,808.743,10.00001,-2.747395
25.02039,246.791,36.48784,1359.909,-1004.864,-430.8719,808.6731,10,-3.906058
26.02081,246.3565,36.12294,1361.671,-1007.569,-441.1065,802.7322,10,-1.761232
27.02267,245.9282,35.76829,1363.783,-1010.325,-451.3436,797.1429,10.65453,-2.107646
28.0235,245.4663,35.57755,1367.497,-1011.81,-461.8271,795.6157,10,-3.711034
29.02417,244.9979,35.5603,1373.832,-1012.888,-472.3632,798.9651,10.01747,-6.330957
30.02531,244.5242,35.38647,1377.176,-1013.593,-482.9337,797.5072,10,-3.339938
31.02621,244.0443,35.10018,1378.236,-1013.863,-493.5231,792.4963,10.4244,-1.058742
32.02773,243.5615,34.92593,1380.979,-1013.835,-504.1226,790.6343,10.05731,-2.73963
33.03275,243.1181,34.80317,1384.044,-1013.658,-513.8546,789.9559,10.00762,-3.049618
34.03286,242.7904,34.68419,1387.764,-1014.879,-521.7924,789.7107,8.734301,-3.719174
