UpdateTime,Position_lat_,Position_lon_,Position_altMSL_,Speed,UUID,Range,AZ,EL,RadialVelocity
10000,40.429007155135,-86.929256779035,629.75120059823,0.0,7089b118-c145-11ee-8cd4-cc153123845c,3804.316763320531,298.36382265703037,-1.3212896513378694,0.4746152482941493
11000,40.4290055101048,-86.9292558127,629.42311659823,0.0,7089b118-c145-11ee-8cd4-cc153123845c,3804.3416681073445,298.3665707029951,-1.3163385393789648,0.4746152482941493
12000,40.4290058718421,-86.9292569866141,629.09503259823,0.671082,7089b118-c145-11ee-8cd4-cc153123845c,3804.395015504306,298.36533361701163,-1.3113776961007688,0.30675181199588397
13000,40.429008628292,-86.9292587795197,629.09503259823,0.447388,7089b118-c145-11ee-8cd4-cc153123845c,3804.3529323725684,298.36061471425467,-1.311392204880613,0.8182049898439604
14100,40.4290093512764,-86.9292600667978,629.42311659823,0.0,7089b118-c145-11ee-8cd4-cc153123845c,3804.40722037396,298.35883937165676,-1.3163158540683424,0.36836222667127877
15100,40.4290090401389,-86.9292602450105,629.09503259823,0.0,7089b118-c145-11ee-8cd4-cc153123845c,3804.431369034973,298.35912156922836,-1.311365162943802,0.08919382427764891
16100,40.429009819493,-86.9292615886099,628.76694859823,0.223694,7089b118-c145-11ee-8cd4-cc153123845c,3804.4711745156283,298.35723686594577,-1.3064091671444598,0.38751174287519624
17100,40.4290115719457,-86.9292614204882,629.09503259823,0.0,7089b118-c145-11ee-8cd4-cc153123845c,3804.3594073404693,298.3550974836435,-1.3113899725191083,0.4373239144754699
18100,40.4290119295613,-86.9292597478781,629.75120059823,0.0,7089b118-c145-11ee-8cd4-cc153123845c,3804.234241405614,298.3557388534038,-1.321318317996769,0.427230256023038
19100,40.4290110660097,-86.929260415272,630.40736859823,0.0,7089b118-c145-11ee-8cd4-cc153123845c,3804.3495501138946,298.35640848437356,-1.3311631926142078,0.2716897224314562
20100,40.4290214967077,-86.9292750856446,630.07928459823,7.2924244,7089b118-c145-11ee-8cd4-cc153123845c,3804.741095591608,298.3333670205426,-1.3260842168350933,4.48860271820425
21100,40.4290513624732,-86.9293099478372,630.07928459823,9.9320136,7089b118-c145-11ee-8cd4-cc153123845c,3805.3820762395444,298.27212213980596,-1.3258608105989582,11.441210029610051
22100,40.4290705748098,-86.9293199408914,628.43886459823,1.4092722,7089b118-c145-11ee-8cd4-cc153123845c,3804.8785772342503,298.2408924642319,-1.3013275270908133,5.385916906282984
23100,40.4290811188219,-86.9293063403065,627.45461259823,1.9237684,7089b118-c145-11ee-8cd4-cc153123845c,3803.2489159439997,298.23625735050115,-1.2870537326421758,4.290256049933021
24100,40.4290862623209,-86.9292945627344,627.12652859823,1.2079476,7089b118-c145-11ee-8cd4-cc153123845c,3802.0930457780482,298.2373667881129,-1.2824997569013097,3.207963700878558
25100,40.4290879572184,-86.9292884007495,626.79844459823,0.671082,7089b118-c145-11ee-8cd4-cc153123845c,3801.545644476335,298.23922838253833,-1.2777384402489034,1.5960682369195411
26100,40.4290843343604,-86.929287728702,626.47036059823,1.565858,7089b118-c145-11ee-8cd4-cc153123845c,3801.711968029559,298.24432730677916,-1.2727367360959945,0.9154334253432408
27100,40.4290783333619,-86.9292879171162,627.78269659823,1.565858,7089b118-c145-11ee-8cd4-cc153123845c,3802.121220179503,298.2519187284066,-1.2923808228253204,1.4913663651501154
28100,40.4290647814901,-86.9292898207876,628.76694859823,4.0488614,7089b118-c145-11ee-8cd4-cc153123845c,3803.106384897968,298.2680879050078,-1.306878068800781,3.399663903283082
29100,40.4290508223965,-86.9292920479793,629.42311659823,2.460634,7089b118-c145-11ee-8cd4-cc153123845c,3804.1324059100484,298.2845612790544,-1.3164109628240093,3.5117477153877297
30100,40.4290500113369,-86.9292949191254,629.09503259823,0.3131716,7089b118-c145-11ee-8cd4-cc153123845c,3804.3777747038266,298.28371854910347,-1.311383640081987,0.7450951540894776
31100,40.4290508215204,-86.9292963182026,628.76694859823,0.223694,7089b118-c145-11ee-8cd4-cc153123845c,3804.4198159342864,298.2817595967573,-1.306426806352228,0.40334479774502263
32100,40.4290506418639,-86.9292951156736,628.76694859823,0.0,7089b118-c145-11ee-8cd4-cc153123845c,3804.345647737225,298.2827796163754,-1.3064522804089864,0.3037420583442618
