UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.003173,305.2942,13.47835,613.5283,-486.9674,344.7184,143,10,4.84681
3.005545,304.4971,13.38797,606.4459,-486.2227,334.1358,140.4188,10,7.065636
4.009093,303.6805,13.27488,599.4678,-485.5135,323.5589,137.6516,10,6.953483
5.011186,302.8193,13.15751,592.965,-485.2364,312.945,134.976,10,6.489231
6.014045,301.8673,12.99657,588.4391,-486.9436,302.7108,132.3357,10,4.512917
7.016935,301.0976,12.90376,580.6981,-484.6883,292.3545,129.678,10,7.71872
8.020014,300.3474,12.8208,572.6606,-481.8729,282.1181,127.0749,10,8.012807
9.021177,299.7387,12.70596,566.1527,-479.5502,273.9603,124.524,5.134058,6.50037
10.0235,299.501,12.50453,563.321,-478.6548,270.8205,121.9685,1.869671,2.82516
11.02642,299.4604,12.27138,562.0726,-478.2125,270.1236,119.464,5.275872,1.244785
12.02876,300.3572,11.97082,563.6785,-475.8162,278.6817,116.9144,6.157806,-1.602201
13.02939,300.7458,11.69147,564.1556,-474.801,282.4292,114.3213,2.242489,-0.4768123
14.02939,300.3615,11.45968,562.6104,-475.7728,278.7047,111.7784,2.920402,1.54522
15.03044,301.0602,11.16414,563.9802,-473.978,285.4723,109.1978,1.490983,-1.368377
16.0308,300.1419,10.95718,561.0349,-476.3292,276.5842,106.6389,8.507632,2.944257
17.03106,299.6036,10.72642,559.1879,-477.6983,271.4105,104.0758,3.098225,1.846506
18.03358,299.4067,10.54339,558.3495,-478.1974,269.5244,102.1669,1.601802,0.8362743
19.03667,299.7045,10.27988,558.6406,-477.442,272.378,99.69311,10,-0.2901802
20.03743,300.3871,9.957043,561.8776,-477.3904,279.9391,97.15421,5.153176,-3.234544
21.03921,300.6033,9.658401,563.8576,-478.4402,282.9862,94.60046,1.876632,-1.976445
22.04225,300.6815,9.388477,564.3179,-478.8221,284.0945,92.05582,0.6697452,-0.4588744
23.04472,300.7098,9.132972,564.2364,-478.9607,284.4969,89.55936,0.2439011,0.08128073
24.04698,300.7201,8.882812,563.9653,-479.011,284.643,87.08411,0.08882147,0.2705079
25.05056,300.7238,8.69825,563.7278,-479.0292,284.6962,85.25278,0.9057752,0.23664
26.05377,300.7252,8.640656,563.6572,-479.0359,284.7155,84.68225,0.3298561,0.07039187
27.0561,300.7257,8.619787,563.6317,-479.0383,284.7225,84.47527,0.1201237,0.02545333
28.05659,300.7258,8.612196,563.6224,-479.0392,284.7249,84.40018,0.04374546,0.009272762
29.05698,300.7259,8.609459,563.6188,-479.0392,284.7259,84.37283,0.01593079,0.003599696
30.05982,300.7259,8.609299,563.6185,-479.0392,284.7259,84.37128,0,0.0002434488
31.06151,301.0653,8.608751,563.6544,-477.3755,287.5769,84.37128,10,-0.03582821
32.0647,301.7037,8.729852,555.8929,-467.4617,288.7524,84.37128,10,7.736789
33.06728,302.0292,8.891565,545.8636,-457.2097,286.0209,84.37128,9.999999,10.00354
34.07065,302.3279,9.060849,535.7473,-447.058,282.9236,84.37128,9.999999,10.08228
35.0709,302.8546,9.222175,526.4535,-436.5309,281.914,84.37128,10,9.291485
36.07351,303.4482,9.38498,517.4024,-425.9339,281.3664,84.37128,10,9.027609
37.07586,304.0644,9.552322,508.4195,-415.3392,280.8295,84.37128,10,8.961789
38.07715,304.8798,9.695155,500.9989,-405.1262,282.4077,84.37128,10,7.411072
39.07722,305.7631,9.511861,493.5986,-395.0195,284.5099,81.56812,10,7.399734
40.08005,306.7556,9.244033,487.151,-385.2342,287.7269,78.25574,10,6.429413
41.08149,307.5317,9.018856,478.3593,-374.6568,287.8138,74.98728,10,8.779103
42.08316,308.2774,8.799665,469.2925,-364.0677,287.2908,71.79224,10.37578,9.051673
43.08534,308.7961,8.675139,463.2502,-356.9178,286.929,69.87286,4.111002,6.029078
44.08763,308.9879,8.376816,460.7598,-354.3177,286.7974,67.12469,1.497104,2.484802
45.08891,308.6978,7.980082,461.9192,-357.0161,286.0009,64.1275,9.039207,-1.157942
46.09188,308.2827,7.578492,464.7769,-361.646,285.4339,61.29677,6.013606,-2.849294
47.09498,308.498,7.294658,461.9169,-358.584,285.2102,58.65053,10,2.851181
48.09831,308.5494,7.330397,454.1812,-352.2989,280.7275,57.9492,10.00229,7.709994
49.09926,309.6697,7.402367,448.7509,-342.5414,284.0777,57.81554,10.0003,5.425173
50.10066,310.5002,7.537806,440.3625,-331.9595,283.5225,57.76689,10.00004,8.376702
51.10281,311.3975,7.674935,432.4082,-321.4611,283.3807,57.74919,10,7.937294
52.10503,312.7829,7.596519,430.1309,-312.9163,289.5906,56.86188,10,2.27223
53.10757,314.2035,7.173018,428.6493,-304.8799,296.5193,53.52364,10,1.477841
54.10933,315.6294,6.742122,427.4716,-296.8623,303.4569,50.18564,10,1.175672
55.10952,317.0227,6.328711,427.2602,-289.4916,310.689,47.09809,8.693013,0.2113233
56.10956,317.7299,6.268509,428.7428,-286.6592,315.3654,46.81345,3.165735,-1.482512
