UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity
2.000591,133.825,3.301619,1180.725,850.4305,-816.2452,68,10,6.902643
3.002386,134.1395,3.325077,1172.379,839.9374,-815.0782,68,10,8.331851
4.003204,134.4828,3.347845,1164.433,829.3595,-814.5198,68,10,7.939301
5.004646,134.836,3.370517,1156.614,818.7687,-814.0941,68,9.999999,7.807717
6.004869,135.1993,3.39298,1148.958,808.1859,-813.8283,68,10,7.653816
7.005487,135.5497,3.416671,1141.019,797.6238,-813.0779,68,9.999999,7.934662
8.00878,135.8833,3.441621,1132.722,787.0909,-811.7413,68,10,8.269044
9.010468,136.2198,3.467014,1124.454,776.5792,-810.3687,68,10,8.254493
10.01079,136.5908,3.490988,1116.751,766.0112,-809.7747,68,10,7.700768
11.01187,136.9865,3.513963,1109.459,755.4166,-809.704,68,9.999999,7.284167
12.01345,137.395,3.536513,1102.37,744.8167,-809.8413,68,10,7.077887
13.01357,137.8051,3.55947,1095.282,734.2319,-809.8904,68,10,7.086654
14.01473,138.2125,3.5831,1088.066,723.6375,-809.6989,68,10,7.207821
15.01588,138.6116,3.607823,1080.637,713.0571,-809.1361,68,10,7.420682
16.01643,139.0029,3.633403,1073.018,702.5068,-808.2251,68,10,7.61447
17.01767,139.3854,3.660142,1065.189,691.9891,-806.9411,68,10,7.81963
18.01833,139.7747,3.687058,1057.435,681.4725,-805.6924,68,10,7.748551
19.01996,140.1843,3.713306,1049.977,670.9102,-804.8024,68,10,7.446033
20.02071,140.6178,3.738322,1042.937,660.3263,-804.4026,68,10,7.034226
21.02095,141.0688,3.762651,1036.216,649.7405,-804.3361,68,10,6.719872
22.02106,141.5304,3.786618,1029.666,639.1558,-804.4048,68,10,6.549562
23.02241,141.988,3.811564,1022.941,628.5604,-804.1742,68,10,6.715544
24.0238,142.4404,3.837471,1016.04,617.976,-803.629,68,10,6.8911
25.02394,142.8904,3.864118,1009.049,607.4181,-802.8696,68,10,6.9901
26.02542,143.3358,3.891739,1001.889,596.8719,-801.8116,68,9.999999,7.149537
