time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
0,2024-02-08 21:50:01,40.4295404223909,-86.9293311341182,0,Available with any HD 360 subscription,Available with any HD 360 subscription,625.48406594725,0.328084,0,0,0,22,5,0,625.48406594725,0,0,0,0,0,0,283.1, -2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,"Remote ID functionality normal (Code: 30331)"
100,2024-02-08 21:50:01,40.4295404190884,-86.9293311360989,0,,,625.48406594725,0.328084,0,0.00132454400564,0.00132454400564,22,5,0,625.48406594725,0,0,0.00132454400564,0,0,0,283.1, -2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,
200,2024-02-08 21:50:01,40.4295404225081,-86.9293311393401,0,,,625.48406594725,0.328084,0,0.00145089899656,0.0028630578344,22,5,0,625.48406594725,0,0,0.00145089899656,0,0,0,283.1, -2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,"Aircraft in Warning Zone (Class D Airspace). Fly with caution"
300,2024-02-08 21:50:02,40.4295404289828,-86.9293311422212,0,,,625.48406594725,0.328084,0,0.0032937337012,0.0053571852108,22,5,0,625.48406594725,0,0,0.0032937337012,0,0,0,283.3, -2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,
400,2024-02-08 21:50:02,40.4295404884471,-86.9293311413209,0,,,625.48406594725,0.328084,0,0.0241834325324,0.027054134724,22,5,0,625.48406594725,0,0,0.0241834325324,0,0,0,283, -2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,
500,2024-02-08 21:50:02,40.4295404696939,-86.9293311413209,0,,,625.48406594725,0.328084,0,0.017374016304,0.033896326544,22,5,0,625.48406594725,0,0,0.0241834325324,0,0,0,282.9, -2.3, 1.7,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,
600,2024-02-08 21:50:02,40.4295404259539,-86.9293311398803,0,,,625.48406594725,0.328084,0,0.00206176515784,0.049859581648,22,5,0,625.48406594725,0,0,0.0241834325324,0,0,0,282.8, -2.4, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,
700,2024-02-08 21:50:02,40.4295404009866,-86.9293311411408,0,,,625.48406594725,0.328084,0,0.008049212856,0.058975723672,22,5,0,625.48406594725,0,0,0.0241834325324,0,0,0,282.8, -2.5, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,
800,2024-02-08 21:50:02,40.4295403905711,-86.9293311418611,0,,,625.48406594725,0.328084,0,0.01180692295,0.062781169988,22,5,0,625.48406594725,0,0,0.0241834325324,0,0,0,282.7, -2.5, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,
900,2024-02-08 21:50:02,40.42954032884,-86.9293311297965,0,,,625.48406594725,0.328084,0,0.034153216316,0.085551511924,22,5,0,625.48406594725,0,0,0.034153216316,0,0,0,282.6, -2.5, 1.6,0,0,1024,1024,1024,1024,0,0,0,0,287.4,1.3,0,92,4.038,4.019,0,0,0,0,0,70.7,625.48406594725,0,41,Motors_Started,"Setting new Return-To-Home altitude to 100m (328 ft). Data Recorder File Index is 4. Setting new Maximum Flight Altitude to 120m (394 ft)"
