,UpdateTime,AZ,EL,Range,Position_lat_,Position_lon_,Position_altMSL_,Speed,RadialVelocity,UUID,Label
0,2023-11-16T14:26:05.817105Z,211.2550207,6.675638013,1005.82265,38.88856475,-86.85336969,348.0,6.571984291,4.930871964,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
1,2023-11-16T14:26:06.019511Z,211.0893666,6.725822565,1006.888739,38.88854392,-86.85334689,349.0,6.51428318,3.817499399,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
2,2023-11-16T14:26:06.223488Z,210.960823,6.837485621,1007.320185,38.88853199,-86.8533259,351.0,7.019407272,3.134640694,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
3,2023-11-16T14:26:06.466126Z,210.8134174,6.833536594,1007.898584,38.88851558,-86.85330389,351.0,7.099360466,2.39787817,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
4,2023-11-16T14:26:06.721300Z,210.6887801,6.888130084,1008.285913,38.88850347,-86.85328391,352.0,7.129374027,1.853146315,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
5,2023-11-16T14:26:06.925220Z,210.5519518,6.886889045,1008.466312,38.88849109,-86.85326126,352.0,7.402674198,1.242943048,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
6,2023-11-16T14:26:07.179086Z,210.3583396,6.886344374,1008.545322,38.88847503,-86.85322812,352.0,8.09829998,0.722163677,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
7,2023-11-16T14:26:07.393352Z,210.2691195,6.942159778,1008.749103,38.88846729,-86.85321309,353.0,8.09829998,0.735332489,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
8,2023-11-16T14:26:07.587297Z,210.1799154,6.941565916,1008.834749,38.88845955,-86.85319806,353.0,8.09829998,0.748495281,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
9,2023-11-16T14:26:07.791009Z,210.0907265,6.997320483,1009.044294,38.88845181,-86.85318304,354.0,8.09829998,0.761652112,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
10,2023-11-16T14:26:07.995831Z,210.0090414,6.889108447,1008.142657,38.88845055,-86.85316496,352.0,7.753740788,-0.765563965,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
11,2023-11-16T14:26:08.199121Z,209.7830534,6.77788362,1007.660907,38.88843475,-86.85312411,350.0,8.847211838,-0.943295598,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
12,2023-11-16T14:26:08.404160Z,209.6476556,6.665909904,1007.27966,38.88842535,-86.8530996,348.0,9.196166039,-1.260332108,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
13,2023-11-16T14:26:08.607464Z,209.5017176,6.66874267,1006.854075,38.88841738,-86.85307163,348.0,9.607640266,-1.469243646,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
14,2023-11-16T14:26:08.875935Z,209.2989085,6.612741666,1006.658493,38.88840236,-86.85303563,347.0,10.17473316,-1.618358374,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
15,2023-11-16T14:26:09.143391Z,209.0518729,6.444501083,1006.094771,38.88838519,-86.85299099,344.0,11.32891464,-2.053608418,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
16,2023-11-16T14:26:09.348288Z,208.9249043,6.390165422,1005.629097,38.88837833,-86.85296667,343.0,11.32891464,-2.028400421,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
17,2023-11-16T14:26:09.552449Z,208.7554248,6.336079821,1005.116875,38.88836867,-86.85293459,342.0,11.79837894,-2.205053806,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
18,2023-11-16T14:26:09.756614Z,208.6235802,6.338487421,1004.736983,38.88836176,-86.85290924,342.0,11.79837894,-2.177745581,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
19,2023-11-16T14:26:09.960159Z,208.4535946,6.227803968,1004.085453,38.88835245,-86.85287685,340.0,12.26839161,-2.406967163,244aa26b-6489-4dfa-9140-ec83fdb1a005,1
20,2023-11-16T14:26:10.164691Z,208.3172668,6.230388955,1003.67088,38.88834559,-86.85285049,340.0,12.26839161,-2.377516985,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
21,2023-11-16T14:26:10.368512Z,208.0794148,6.234152999,1003.067767,38.88833279,-86.85280513,340.0,13.08934879,-2.542305231,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
22,2023-11-16T14:26:10.573070Z,207.9321867,6.180147316,1002.510156,38.88832555,-86.85277661,339.0,13.08934879,-2.50871706,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
23,2023-11-16T14:26:10.777324Z,207.7784177,6.126295213,1001.918668,38.88831817,-86.85274674,338.0,13.20807076,-2.587198257,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
24,2023-11-16T14:26:10.981187Z,207.6301237,6.129096756,1001.462875,38.88831103,-86.85271798,338.0,13.20807076,-2.552983522,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
25,2023-11-16T14:26:11.185246Z,207.4956672,5.958992819,1001.045615,38.88830211,-86.85269356,335.0,13.16457462,-2.135416746,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
26,2023-11-16T14:26:11.395159Z,207.3493381,5.904133603,1000.592326,38.88829437,-86.85266569,334.0,13.16457462,-2.100974798,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
27,2023-11-16T14:26:11.594088Z,207.2693158,5.848871955,1000.200084,38.88829096,-86.85264992,333.0,12.72548103,-2.050310135,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
28,2023-11-16T14:26:11.798028Z,207.1287283,5.793808844,999.7671448,38.88828358,-86.85262314,332.0,12.72548103,-2.01809001,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
29,2023-11-16T14:26:12.001825Z,206.9321961,6.467855824,1002.479039,38.88825808,-86.85259561,344.0,12.68350506,1.28207171,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
30,2023-11-16T14:26:12.207001Z,206.7973929,6.466402261,1002.702917,38.88824673,-86.85257268,344.0,12.53084755,1.861480951,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
31,2023-11-16T14:26:12.410270Z,206.6178116,6.462311689,1003.333786,38.88822898,-86.85254381,344.0,12.7943306,2.636314154,a187b00e-2ba2-4150-84a5-90edbf4d1bf5,1
